Source_Banglore,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
True,False,False,False,False
True,False,False,False,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
False,True,False,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,True,False,False,False
False,False,True,False,False
False,False,False,False,True
False,False,False,True,False
False,False,True,False,False
False,True,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,True,False,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,True,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,True,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,True,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,False,False,True
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,False,True
True,False,False,False,False
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
False,False,False,False,True
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,True,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,False,True
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,False,False,False,True
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,False,False,True
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,False,True
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
True,False,False,False,False
True,False,False,False,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,False,True
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,True,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
True,False,False,False,False
True,False,False,False,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,False,False,False,True
True,False,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,False,False,True
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,True,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,False,True
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,False,False,True,False
False,False,False,False,True
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,False,False,True
True,False,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,True,False,False,False
True,False,False,False,False
False,True,False,False,False
False,False,True,False,False
False,False,True,False,False
False,True,False,False,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,False,True,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,True,False,False,False
False,False,False,True,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,False,False,True
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,False,True
False,False,True,False,False
True,False,False,False,False
False,False,False,True,False
False,False,False,False,True
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,False,True
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
False,False,False,False,True
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,False,True
True,False,False,False,False
True,False,False,False,False
False,True,False,False,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
False,False,False,False,True
False,False,True,False,False
True,False,False,False,False
False,False,False,False,True
True,False,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,False,True
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,False,False,True
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,False,True
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,True,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,True,False,False,False
False,False,True,False,False
False,False,False,False,True
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,False,True
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
False,False,False,False,True
False,False,True,False,False
False,False,False,False,True
False,False,False,False,True
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,False,False,True,False
True,False,False,False,False
False,False,False,True,False
True,False,False,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,False,False,False,True
False,False,False,True,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,False,False,True
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,False,False,True
True,False,False,False,False
False,True,False,False,False
False,False,True,False,False
False,False,False,False,True
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,False,True
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
False,False,False,True,False
False,False,False,False,True
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
False,False,False,True,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,False,True
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,False,False,True,False
False,False,False,False,True
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,True,False,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,False,True
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
True,False,False,False,False
True,False,False,False,False
False,False,False,True,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,False,True
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,False,False,True
False,False,False,False,True
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
True,False,False,False,False
True,False,False,False,False
False,True,False,False,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
True,False,False,False,False
False,False,False,True,False
True,False,False,False,False
True,False,False,False,False
False,False,False,True,False
True,False,False,False,False
False,False,False,False,True
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,False,False,True
False,False,False,True,False
False,True,False,False,False
False,False,False,False,True
False,False,False,True,False
True,False,False,False,False
False,True,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,False,True
True,False,False,False,False
False,False,True,False,False
False,False,False,False,True
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,True,False,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
False,True,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,False,False,False,True
True,False,False,False,False
True,False,False,False,False
False,False,False,True,False
True,False,False,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,True,False,False,False
False,False,False,True,False
True,False,False,False,False
False,False,False,True,False
False,False,False,True,False
True,False,False,False,False
False,False,False,False,True
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,False,False,False,True
True,False,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,False,False,True,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,True,False,False,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
True,False,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,False,True
True,False,False,False,False
False,False,False,False,True
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,False,True
False,True,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,True,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
False,False,False,True,False
False,False,False,True,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,False,False,False,True
False,False,False,False,True
False,False,False,False,True
False,False,False,True,False
False,False,False,False,True
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
True,False,False,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,True,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
True,False,False,False,False
True,False,False,False,False
False,True,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,False,True,False
True,False,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
False,False,False,False,True
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,True,False,False,False
True,False,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,True,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,False,False,True
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
False,True,False,False,False
False,False,False,True,False
False,False,False,True,False
True,False,False,False,False
False,False,False,False,True
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,False,True
False,False,True,False,False
False,False,False,False,True
False,False,False,True,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,True,False,False,False
False,False,False,False,True
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,False,False,True
False,False,False,True,False
False,True,False,False,False
True,False,False,False,False
True,False,False,False,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,False,True
False,False,False,True,False
True,False,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,False,False,True
True,False,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,True,False,False,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,False,True
True,False,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,True,False,False,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,False,True
True,False,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
False,False,False,False,True
False,False,False,True,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
True,False,False,False,False
False,True,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,False,True,False
False,False,False,True,False
False,False,False,False,True
False,False,False,True,False
True,False,False,False,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,False,True
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,False,False,True
False,False,False,True,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,False,False,False,True
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,False,False,True
False,False,False,True,False
True,False,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,False,False,True
False,False,False,False,True
False,False,True,False,False
True,False,False,False,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,True,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,False,False,False,True
False,False,True,False,False
False,False,False,False,True
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,False,False,False,True
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,False,True
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,False,True
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,False,False,False,True
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
True,False,False,False,False
True,False,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,False,True
True,False,False,False,False
False,False,False,True,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,True,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,True,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,False,True,False
False,False,False,False,True
False,False,False,False,True
True,False,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,True,False,False,False
False,False,True,False,False
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
True,False,False,False,False
False,False,False,True,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,True,False,False,False
False,False,False,True,False
False,False,False,True,False
